N;ID;Title;Weight;
8;#8-V1;Boat;80;
9;#9-A5;Plane;90;
11;#11-A6;Plane;90;
18;#18-ST1;Stitch;30;
20;#20-ST2;Kitty;30;
21;#21-D3;MonsterHigh;40;
31;#31-C3;RFCar;75;
39;#39-ST6;TeddyBear;30;
43;#43-V6;Boat;80;
46;#46-TG8;Monopoly;35;
65;#65-TG12;Chess;35;
71;#71-TG14;Chess;35;
79;#79-V12;Boat;80;
82;#82-C8;SpecialServiceCar;60;
93;#93-A17;Helicopter;95;
100;#100-ST13;TeddyBear;30;
108;#108-TG23;Monopoly;35;
109;#109-A20;Quadcopter;99;
111;#111-TG24;RPG;55;
112;#112-V17;Boat;80;
121;#121-TG26;Chess;35;
124;#124-R9;RF_Robot;65;
132;#132-V19;Boat;80;
136;#136-V20;SpeedBoat;80;
161;#161-ST22;TeddyBear;30;
171;#171-TG32;RPG;55;
172;#172-A31;Plane;90;
187;#187-A33;Helicopter;95;
214;#214-A39;Quadcopter;99;
220;#220-A40;Quadcopter;99;
224;#224-ST27;TeddyBear;30;
228;#228-C27;RFCar;75;
231;#231-V38;Submarine;90;
252;#252-TG47;Chess;35;
253;#253-C33;SpecialServiceCar;60;
254;#254-D44;Barbie;40;
259;#259-R16;RF_Robot;65;
267;#267-A48;Quadcopter;99;
280;#280-V45;Boat;80;
304;#304-A53;Helicopter;95;
308;#308-A54;Helicopter;95;
316;#316-D54;MonsterHigh;40;
317;#317-ST41;TeddyBear;30;
330;#330-TG61;Chess;35;
332;#332-D57;MonsterHigh;40;
342;#342-A58;Plane;90;
344;#344-V53;Submarine;90;
346;#346-ST44;Kitty;30;
355;#355-A59;Plane;90;
357;#357-D60;Barbie;40;
360;#360-C46;RFCar;75;
368;#368-C47;SpeedCar;60;
369;#369-R27;SimpleRobot;55;
370;#370-C48;SpeedCar;60;
371;#371-A60;Plane;90;
373;#373-V59;SpeedBoat;80;
381;#381-R28;SimpleRobot;55;
384;#384-V61;SpeedBoat;80;
388;#388-ST52;Stitch;30;
391;#391-V62;SpeedBoat;80;
400;#400-D66;Barbie;40;
409;#409-TG74;Constructor;35;
414;#414-TG75;Chess;35;
424;#424-A66;Helicopter;95;
426;#426-V70;Boat;80;
430;#430-C54;SpecialServiceCar;60;
434;#434-D70;Barbie;40;
442;#442-ST61;Kitty;30;
446;#446-TG79;Chess;35;
447;#447-C59;SpecialServiceCar;60;
452;#452-D74;Barbie;40;
454;#454-C60;RFCar;75;
463;#463-C61;SpeedCar;60;
468;#468-TG85;Monopoly;35;
469;#469-D78;MonsterHigh;40;
472;#472-R36;RF_Robot;65;
473;#473-TG87;Monopoly;35;
483;#483-V72;Boat;80;
489;#489-C65;RFCar;75;
492;#492-D83;Barbie;40;
494;#494-D84;Barbie;40;
507;#507-TG96;Constructor;35;
515;#515-C72;SpeedCar;60;
521;#521-R39;RF_Robot;65;
526;#526-ST69;Kitty;30;
527;#527-C76;SpeedCar;60;
548;#548-V77;SpeedBoat;80;
564;#564-TG104;Constructor;35;
567;#567-D95;Barbie;40;
571;#571-D97;Barbie;40;
575;#575-R45;SimpleRobot;55;
577;#577-D99;LOL;40;
584;#584-D100;Barbie;40;
589;#589-C86;SpeedCar;60;
595;#595-ST77;TeddyBear;30;
596;#596-D104;MonsterHigh;40;
601;#601-A90;Plane;90;
602;#602-V86;Submarine;90;
606;#606-ST79;Stitch;30;
609;#609-A91;Quadcopter;99;
610;#610-C89;RFCar;75;
612;#612-D106;LOL;40;
622;#622-ST80;TeddyBear;30;
629;#629-ST81;Stitch;30;
630;#630-D109;MonsterHigh;40;
634;#634-TG118;Constructor;35;
639;#639-V92;SpeedBoat;80;
646;#646-TG122;RPG;55;
650;#650-V95;Submarine;90;
654;#654-TG123;Constructor;35;
655;#655-R49;RF_Robot;65;
659;#659-A99;Helicopter;95;
661;#661-ST84;Stitch;30;
690;#690-R53;SimpleRobot;55;
695;#695-V101;Boat;80;
700;#700-C97;SpecialServiceCar;60;
723;#723-TG138;RPG;55;
725;#725-C100;SpecialServiceCar;60;
726;#726-TG139;Constructor;35;
729;#729-V110;Boat;80;
742;#742-D126;LOL;40;
750;#750-C106;SpecialServiceCar;60;
752;#752-C107;SpecialServiceCar;60;
763;#763-D129;LOL;40;
769;#769-V114;Submarine;90;
800;#800-TG154;Monopoly;35;
807;#807-C113;RFCar;75;
811;#811-R68;RF_Robot;65;
822;#822-TG156;Chess;35;
830;#830-TG159;Chess;35;
835;#835-C116;SpeedCar;60;
837;#837-D147;LOL;40;
846;#846-A120;Quadcopter;99;
855;#855-D152;MonsterHigh;40;
865;#865-R72;SimpleRobot;55;
866;#866-ST108;Kitty;30;
874;#874-D156;MonsterHigh;40;
883;#883-A122;Helicopter;95;
886;#886-A124;Quadcopter;99;
888;#888-V127;SpeedBoat;80;
894;#894-TG171;Monopoly;35;
908;#908-TG174;RPG;55;
913;#913-A127;Helicopter;95;
916;#916-V132;SpeedBoat;80;
926;#926-C133;RFCar;75;
928;#928-A130;Helicopter;95;
929;#929-D165;LOL;40;
939;#939-D166;LOL;40;
943;#943-TG180;Constructor;35;
947;#947-A133;Plane;90;
972;#972-TG185;RPG;55;
977;#977-R83;RF_Robot;65;
983;#983-R84;SimpleRobot;55;
987;#987-D171;LOL;40;
991;#991-TG189;Monopoly;35;
993;#993-V146;Submarine;90;
998;#998-ST125;Kitty;30;
